individual,gender,mode,decision,dwell_time,incentive,congestion,alt,choice_id
37.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,71
37.0,1.0,MRT,0.0,30.0,3.0,0.0,stay,71
37.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,72
37.0,1.0,MRT,0.0,45.0,7.0,0.0,stay,72
39.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,73
39.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,73
40.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,74
40.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,74
41.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,75
41.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,75
42.0,2.0,MRT,1.0,30.0,0.0,0.0,stay,76
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,76
42.0,2.0,MRT,1.0,45.0,0.0,0.0,stay,77
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,77
42.0,2.0,MRT,1.0,60.0,0.0,0.0,stay,78
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,78
42.0,2.0,MRT,1.0,30.0,3.0,0.0,stay,79
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,79
42.0,2.0,MRT,1.0,45.0,3.0,0.0,stay,80
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,80
42.0,2.0,MRT,1.0,60.0,3.0,0.0,stay,81
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,81
42.0,2.0,MRT,1.0,75.0,3.0,0.0,stay,82
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,82
42.0,2.0,MRT,1.0,90.0,3.0,0.0,stay,83
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,83
42.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,84
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,84
42.0,2.0,MRT,1.0,45.0,7.0,0.0,stay,85
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,85
42.0,2.0,MRT,1.0,60.0,7.0,0.0,stay,86
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,86
42.0,2.0,MRT,1.0,75.0,7.0,0.0,stay,87
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,87
42.0,2.0,MRT,1.0,90.0,7.0,0.0,stay,88
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,88
42.0,2.0,MRT,1.0,105.0,7.0,0.0,stay,89
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,89
42.0,2.0,MRT,1.0,120.0,7.0,0.0,stay,90
42.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,90
42.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,91
42.0,2.0,MRT,0.0,75.0,0.0,0.0,stay,91
42.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,92
42.0,2.0,MRT,0.0,105.0,3.0,0.0,stay,92
42.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,93
42.0,2.0,MRT,0.0,135.0,7.0,0.0,stay,93
46.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,94
46.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,94
48.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,95
48.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,95
51.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,96
51.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,96
52.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,97
52.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,97
53.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,98
53.0,2.0,MRT,0.0,30.0,0.0,0.0,stay,98
53.0,2.0,MRT,1.0,30.0,3.0,0.0,stay,99
53.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,99
53.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,100
53.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,100
53.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,101
53.0,2.0,MRT,0.0,45.0,3.0,0.0,stay,101
53.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,102
53.0,2.0,MRT,0.0,45.0,7.0,0.0,stay,102
54.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,103
54.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,103
55.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,104
55.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,104
56.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,105
56.0,2.0,MRT,0.0,60.0,0.0,0.0,stay,105
56.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,106
56.0,2.0,MRT,0.0,60.0,3.0,0.0,stay,106
56.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,107
56.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,107
56.0,2.0,MRT,1.0,45.0,7.0,0.0,stay,108
56.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,108
56.0,2.0,MRT,1.0,60.0,7.0,0.0,stay,109
56.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,109
56.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,110
56.0,2.0,MRT,0.0,75.0,7.0,0.0,stay,110
60.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,111
60.0,1.0,MRT,0.0,30.0,7.0,0.0,stay,111
61.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,112
61.0,2.0,MRT,0.0,30.0,0.0,0.0,stay,112
61.0,2.0,MRT,1.0,30.0,3.0,0.0,stay,113
61.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,113
61.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,114
61.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,114
61.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,115
61.0,2.0,MRT,0.0,45.0,3.0,0.0,stay,115
61.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,116
61.0,2.0,MRT,0.0,45.0,7.0,0.0,stay,116
63.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,117
63.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,117
64.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,118
64.0,1.0,MRT,0.0,30.0,0.0,0.0,stay,118
64.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,119
64.0,1.0,MRT,0.0,30.0,3.0,0.0,stay,119
64.0,1.0,MRT,1.0,30.0,7.0,0.0,stay,120
64.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,120
64.0,1.0,MRT,1.0,0.0,0.0,1.0,leave,121
64.0,1.0,MRT,0.0,45.0,7.0,0.0,stay,121
69.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,122
69.0,2.0,MRT,0.0,90.0,0.0,0.0,stay,122
69.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,123
69.0,2.0,MRT,0.0,90.0,3.0,0.0,stay,123
69.0,2.0,MRT,1.0,30.0,7.0,0.0,stay,124
69.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,124
69.0,2.0,MRT,1.0,45.0,7.0,0.0,stay,125
69.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,125
69.0,2.0,MRT,1.0,60.0,7.0,0.0,stay,126
69.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,126
69.0,2.0,MRT,1.0,75.0,7.0,0.0,stay,127
69.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,127
69.0,2.0,MRT,1.0,90.0,7.0,0.0,stay,128
69.0,2.0,MRT,0.0,0.0,0.0,1.0,leave,128
69.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,129
69.0,2.0,MRT,0.0,105.0,7.0,0.0,stay,129
70.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,130
70.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,130
71.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,131
71.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,131
72.0,2.0,MRT,1.0,0.0,0.0,1.0,leave,132
72.0,2.0,MRT,0.0,30.0,7.0,0.0,stay,132
75.0,1.0,MRT,1.0,30.0,0.0,0.0,stay,133
75.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,133
75.0,1.0,MRT,1.0,45.0,0.0,0.0,stay,134
75.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,134
75.0,1.0,MRT,1.0,60.0,0.0,0.0,stay,135
75.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,135
75.0,1.0,MRT,1.0,30.0,3.0,0.0,stay,136
75.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,136
75.0,1.0,MRT,1.0,45.0,3.0,0.0,stay,137
75.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,137
75.0,1.0,MRT,1.0,60.0,3.0,0.0,stay,138
75.0,1.0,MRT,0.0,0.0,0.0,1.0,leave,138
